accuracy,loss,val_accuracy,val_loss
1.0,2.5949809412395552e-08,0.976190447807312,0.10331680625677109
1.0,2.3744924249058386e-08,0.976190447807312,0.10324820131063461
1.0,2.185502445684051e-08,0.976190447807312,0.10367444902658463
1.0,2.0788926136106056e-08,0.976190447807312,0.10494687408208847
1.0,1.9238237669583214e-08,0.976190447807312,0.1052253469824791
1.0,1.773600644128237e-08,0.976190447807312,0.10563939064741135
1.0,1.6597223151393337e-08,0.976190447807312,0.10570498555898666
1.0,1.5385746010565526e-08,0.976190447807312,0.1062365472316742
1.0,1.4634630396415105e-08,0.976190447807312,0.10629159957170486
1.0,1.3471614046522973e-08,0.976190447807312,0.10694428533315659
1.0,1.2429744344899518e-08,0.976190447807312,0.1076509952545166
1.0,1.1872466565421291e-08,0.976190447807312,0.10843749344348907
1.0,1.1024433810291612e-08,0.976190447807312,0.10848049074411392
1.0,1.0176401055161932e-08,0.976190447807312,0.1093568354845047
1.0,9.497973962879769e-09,0.976190447807312,0.11030405759811401
1.0,8.577251797703411e-09,0.976190447807312,0.1112632155418396
1.0,7.39000594052186e-09,0.976190447807312,0.11219760030508041
1.0,6.953873921133891e-09,0.976190447807312,0.1130911186337471
1.0,6.5904313117925994e-09,0.976190447807312,0.11408810317516327
1.0,6.081611214625582e-09,0.976190447807312,0.11515005677938461
1.0,5.815086634441968e-09,0.976190447807312,0.1162600889801979
1.0,5.524332546968935e-09,0.976190447807312,0.11737273633480072
1.0,5.354725995942999e-09,0.976190447807312,0.11862250417470932
1.0,4.967053435223079e-09,0.976190447807312,0.11999479681253433
1.0,4.627839889081997e-09,0.976190447807312,0.12131794542074203
1.0,4.070560777336141e-09,0.976190447807312,0.12274948507547379
1.0,3.48905193625626e-09,0.976190447807312,0.12422171235084534
1.0,3.319445385230324e-09,0.976190447807312,0.12589199841022491
1.0,3.0044615684232667e-09,0.976190447807312,0.12745246291160583
1.0,2.834854795352726e-09,0.976190447807312,0.129204660654068
1.0,2.5198709785456685e-09,0.976190447807312,0.13093411922454834
1.0,2.4471824566774103e-09,0.976190447807312,0.13251440227031708
1.0,2.3260346981857083e-09,0.976190447807312,0.1340596079826355
1.0,2.1564279251151675e-09,0.976190447807312,0.1356736570596695
1.0,2.0352803886680704e-09,0.976190447807312,0.13748688995838165
1.0,1.7202964608387106e-09,0.976190447807312,0.13916096091270447
1.0,1.6960669535492912e-09,0.976190447807312,0.1412186622619629
1.0,1.7202964608387106e-09,0.976190447807312,0.14331580698490143
1.0,1.6476078279481499e-09,0.976190447807312,0.14551489055156708
1.0,1.2114764746939954e-09,0.976190447807312,0.1475294977426529
1.0,1.1145583345140153e-09,0.976190447807312,0.14909055829048157
1.0,8.964925468646356e-10,0.976190447807312,0.15050871670246124
1.0,9.691810687328939e-10,0.976190447807312,0.15194933116436005
1.0,8.964925468646356e-10,0.976190447807312,0.15351369976997375
1.0,8.72262984064065e-10,0.976190447807312,0.1549907624721527
1.0,8.72262984064065e-10,0.976190447807312,0.15658657252788544
1.0,7.995744066846555e-10,0.976190447807312,0.15828491747379303
1.0,6.784268147264072e-10,0.976190447807312,0.16000591218471527
1.0,5.815086745464271e-10,0.976190447807312,0.16176709532737732
1.0,4.361314920320325e-10,0.976190447807312,0.1637340784072876
1.0,5.33049604456437e-10,0.976190447807312,0.16550886631011963
1.0,3.8767244969761805e-10,0.976190447807312,0.1677672117948532
1.0,2.9075433727321354e-10,0.976190447807312,0.1698959618806839
1.0,2.9075433727321354e-10,0.976190447807312,0.1719886213541031
1.0,2.4229526718322347e-10,0.976190447807312,0.1743970513343811
1.0,2.4229526718322347e-10,0.976190447807312,0.17678724229335785
1.0,1.9383622484880902e-10,0.976190447807312,0.17918922007083893
1.0,1.696067036816018e-10,0.976190447807312,0.1819431334733963
1.0,1.9383622484880902e-10,0.976190447807312,0.18456539511680603
1.0,1.696067036816018e-10,0.976190447807312,0.1872594654560089
1.0,1.696067036816018e-10,0.976190447807312,0.19030281901359558
1.0,1.696067036816018e-10,0.976190447807312,0.19324886798858643
1.0,1.2114763359161174e-10,0.976190447807312,0.19670143723487854
1.0,1.9383622484880902e-10,0.976190447807312,0.20015713572502136
1.0,1.2114763359161174e-10,0.976190447807312,0.20354770123958588
1.0,9.691811242440451e-11,0.976190447807312,0.20725595951080322
1.0,9.691811242440451e-11,0.976190447807312,0.2108956277370453
1.0,9.691811242440451e-11,0.976190447807312,0.2144942283630371
1.0,2.4229528106101128e-11,0.976190447807312,0.218470498919487
1.0,9.691811242440451e-11,0.976190447807312,0.2225790023803711
1.0,4.8459056212202256e-11,0.976190447807312,0.22711379826068878
1.0,7.268858431830338e-11,0.976190447807312,0.23176877200603485
1.0,7.268858431830338e-11,0.976190447807312,0.23635916411876678
1.0,2.4229528106101128e-11,0.976190447807312,0.2416730672121048
1.0,4.8459056212202256e-11,0.976190447807312,0.24673661589622498
1.0,4.8459056212202256e-11,0.976190447807312,0.2520363926887512
1.0,2.4229528106101128e-11,0.976190447807312,0.25778719782829285
1.0,4.8459056212202256e-11,0.976190447807312,0.2631772458553314
1.0,0.0,0.976190447807312,0.2685036063194275
1.0,2.4229528106101128e-11,0.976190447807312,0.27365487813949585
1.0,4.8459056212202256e-11,0.976190447807312,0.27921998500823975
1.0,0.0,0.976190447807312,0.28383636474609375
1.0,2.4229528106101128e-11,0.976190447807312,0.28785473108291626
1.0,0.0,0.976190447807312,0.29167675971984863
1.0,2.4229528106101128e-11,0.976190447807312,0.29446539282798767
1.0,0.0,0.976190447807312,0.2968607544898987
1.0,2.4229528106101128e-11,0.976190447807312,0.2987891435623169
1.0,0.0,0.976190447807312,0.2998087406158447
1.0,0.0,0.976190447807312,0.30094489455223083
1.0,2.4229528106101128e-11,0.976190447807312,0.30157700181007385
1.0,0.0,0.976190447807312,0.30121809244155884
1.0,0.0,0.976190447807312,0.3011775314807892
1.0,0.0,0.976190447807312,0.30081266164779663
1.0,0.0,0.976190447807312,0.29985612630844116
1.0,0.0,0.976190447807312,0.29968583583831787
1.0,0.0,0.976190447807312,0.2993046045303345
1.0,0.0,0.976190447807312,0.2982311248779297
1.0,0.0,0.976190447807312,0.2976859509944916
1.0,0.0,0.976190447807312,0.2969929873943329
1.0,0.0,0.976190447807312,0.2963221073150635
1.0,0.0,0.976190447807312,0.2954312562942505
1.0,0.0,0.976190447807312,0.2948068082332611
1.0,0.0,0.976190447807312,0.29409509897232056
1.0,0.0,0.976190447807312,0.2937164604663849
1.0,0.0,0.976190447807312,0.2926894426345825
1.0,0.0,0.976190447807312,0.2923732101917267
1.0,0.0,0.976190447807312,0.2919139862060547
1.0,0.0,0.976190447807312,0.291244238615036
1.0,0.0,0.976190447807312,0.290378212928772
1.0,0.0,0.976190447807312,0.28986820578575134
1.0,0.0,0.976190447807312,0.2895658612251282
1.0,0.0,0.976190447807312,0.2889470160007477
1.0,0.0,0.976190447807312,0.2886132597923279
1.0,0.0,0.976190447807312,0.28801026940345764
1.0,0.0,0.976190447807312,0.28745946288108826
1.0,0.0,0.976190447807312,0.2871045470237732
1.0,0.0,0.976190447807312,0.2867126166820526
1.0,0.0,0.976190447807312,0.2864130139350891
1.0,0.0,0.976190447807312,0.286163330078125
1.0,0.0,0.976190447807312,0.28551962971687317
1.0,0.0,0.976190447807312,0.2855360507965088
1.0,0.0,0.976190447807312,0.28493520617485046
1.0,0.0,0.976190447807312,0.28494793176651
1.0,0.0,0.976190447807312,0.2847338020801544
1.0,0.0,0.976190447807312,0.2842872440814972
1.0,0.0,0.976190447807312,0.2843286097049713
1.0,0.0,0.976190447807312,0.28388577699661255
1.0,0.0,0.976190447807312,0.2836093306541443
1.0,0.0,0.976190447807312,0.28327447175979614
1.0,0.0,0.976190447807312,0.28319916129112244
1.0,0.0,0.976190447807312,0.2833173871040344
1.0,0.0,0.976190447807312,0.2830137610435486
1.0,0.0,0.976190447807312,0.28309258818626404
1.0,0.0,0.976190447807312,0.28307750821113586
1.0,0.0,0.976190447807312,0.2830238342285156
1.0,0.0,0.976190447807312,0.2831680178642273
1.0,0.0,0.976190447807312,0.28314512968063354
1.0,0.0,0.976190447807312,0.2835850119590759
1.0,0.0,0.976190447807312,0.28327125310897827
1.0,0.0,0.976190447807312,0.2837442457675934
1.0,0.0,0.976190447807312,0.2858961522579193
1.0,0.0,0.976190447807312,0.2861216962337494
1.0,0.0,0.976190447807312,0.2859856188297272
1.0,0.0,0.976190447807312,0.28790536522865295
1.0,0.0,0.976190447807312,0.2888120114803314
1.0,0.0,0.976190447807312,0.28888893127441406
1.0,0.0,0.976190447807312,0.28829458355903625
1.0,0.0,0.976190447807312,0.29042065143585205
1.0,0.0,0.976190447807312,0.28941839933395386
1.0,0.0,0.976190447807312,0.29015636444091797
1.0,0.0,0.976190447807312,0.290284663438797
1.0,0.0,0.976190447807312,0.2916773855686188
1.0,0.0,0.976190447807312,0.29150816798210144
1.0,0.0,0.976190447807312,0.2933349609375
1.0,0.0,0.976190447807312,0.29338154196739197
1.0,0.0,0.976190447807312,0.29327550530433655
1.0,0.0,0.976190447807312,0.2938166558742523
1.0,0.0,0.976190447807312,0.2954273819923401
1.0,0.0,0.976190447807312,0.2951306700706482
1.0,0.0,0.976190447807312,0.29469433426856995
1.0,0.0,0.976190447807312,0.29293549060821533
1.0,0.0,0.976190447807312,0.2931273281574249
1.0,0.0,0.976190447807312,0.29239657521247864
1.0,0.0,0.976190447807312,0.29595598578453064
1.0,0.0,0.976190447807312,0.29506149888038635
1.0,0.0,0.976190447807312,0.29692715406417847
1.0,0.0,0.976190447807312,0.29763057827949524
1.0,0.0,0.976190447807312,0.2926105558872223
1.0,0.0,0.976190447807312,0.2949853241443634
1.0,0.0,0.976190447807312,0.2970837354660034
1.0,0.0,0.976190447807312,0.2954825758934021
1.0,0.0,0.976190447807312,0.2951270341873169
1.0,0.0,0.976190447807312,0.29951968789100647
1.0,0.0,0.976190447807312,0.2996607720851898
1.0,0.0,0.976190447807312,0.2952936291694641
1.0,0.0,0.976190447807312,0.2910977602005005
1.0,0.0,0.976190447807312,0.2938455045223236
1.0,0.0,0.976190447807312,0.2952469289302826
1.0,0.0,0.976190447807312,0.2960006594657898
1.0,0.0,0.976190447807312,0.29515016078948975
1.0,0.0,0.976190447807312,0.29641541838645935
1.0,0.0,0.976190447807312,0.2940370738506317
1.0,0.0,0.976190447807312,0.294927179813385
1.0,0.0,0.976190447807312,0.297194242477417
1.0,0.0,0.976190447807312,0.295791894197464
1.0,0.0,0.976190447807312,0.2966766953468323
1.0,0.0,0.976190447807312,0.2976710796356201
1.0,0.0,0.976190447807312,0.2971673011779785
1.0,0.0,0.976190447807312,0.2973960340023041
1.0,0.0,0.976190447807312,0.3008057177066803
1.0,0.0,0.976190447807312,0.29687848687171936
1.0,0.0,0.976190447807312,0.30166512727737427
1.0,0.0,0.976190447807312,0.29649245738983154
1.0,0.0,0.976190447807312,0.2986767292022705
1.0,0.0,0.976190447807312,0.29909083247184753
1.0,0.0,0.976190447807312,0.29879528284072876
1.0,0.0,0.976190447807312,0.2989005148410797
1.0,0.0,0.976190447807312,0.3016524612903595
1.0,0.0,0.976190447807312,0.29913029074668884
1.0,0.0,0.976190447807312,0.29532694816589355
